Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Vorst,1190,House,house,650000,for-sale,4,378,0,0,0,0,,0,,0,110,2.0,1900.0,,,,https://www.immoweb.be/en/classified/house/for-sale/vorst/1190/20066381
Anderlecht,1070,Apartment,apartment,245000,for-sale,2,87,1,0,0,1,3.0,1,100.0,0,,2.0,1962.0,G,698.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20209202
Wanze,4520,House,house,285000,for-sale,3,122,1,0,0,1,15.0,1,415.0,0,626,4.0,1960.0,E,376.0,Good,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/20010321
Beernem,8730,House,villa,695000,for-sale,4,346,0,0,0,1,100.0,1,950.0,0,1245,4.0,1986.0,B,193.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/beernem/8730/20295138
Oostduinkerke,8670,House,villa,685000,for-sale,4,256,1,0,0,0,,0,,0,651,,1976.0,F,804.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/oostduinkerke/8670/20242941
Othee,4340,House,house,249000,for-sale,3,153,1,0,0,1,30.0,1,105.0,0,230,2.0,,C,179.0,,https://www.immoweb.be/en/classified/house/for-sale/othee/4340/20306744
Lier,2500,House,house,585000,for-sale,4,237,0,0,0,1,20.0,1,258.0,0,715,3.0,1981.0,B,125.0,As new,https://www.immoweb.be/en/classified/house/for-sale/lier/2500/20272504
Neder-over-heembeek,1120,House,house,450000,for-sale,4,160,1,0,0,1,20.0,1,110.0,0,196,2.0,1938.0,D,204.0,Good,https://www.immoweb.be/en/classified/house/for-sale/neder-over-heembeek/1120/11467089
Saint-gilles,1060,House,house,1075000,for-sale,5,334,1,0,0,1,1.0,1,30.0,0,115,2.0,1884.0,F,322.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/20294917
Oudenburg,8460,House,house,837000,for-sale,5,333,0,0,0,0,,0,,0,8287,,1899.0,F,,,https://www.immoweb.be/en/classified/house/for-sale/oudenburg/8460/20261527
Oostduinkerke,8670,House,villa,685000,for-sale,4,256,1,0,0,0,,0,,0,651,,1976.0,F,804.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/oostduinkerke/8670/20235795
Forest,1190,Apartment,apartment,259000,for-sale,1,69,1,0,0,1,3.0,0,,0,,2.0,,C,148.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20195418
Ixelles,1050,House,mansion,1415000,for-sale,11,430,1,0,0,0,,1,110.0,0,260,2.0,1900.0,G,433.0,Good,https://www.immoweb.be/en/classified/mansion/for-sale/ixelles/1050/20232623
Anderlecht,1070,House,town-house,459000,for-sale,3,178,1,0,1,1,12.0,1,60.0,0,97,2.0,1993.0,D,175.0,Just renovated,https://www.immoweb.be/en/classified/town-house/for-sale/anderlecht/1070/11280147
Merchtem,1785,House,house,519000,for-sale,4,248,1,0,0,0,,0,,0,2127,3.0,1991.0,C,219.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/merchtem/1785/20270648
Erembodegem,9320,House,house,289000,for-sale,3,180,1,0,0,0,,0,,0,735,,1963.0,F,743.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/erembodegem/9320/20157206
Oostende,8400,House,villa,1500000,for-sale,6,245,0,0,0,0,,1,345.0,1,,,1972.0,,,As new,https://www.immoweb.be/en/classified/villa/for-sale/oostende/8400/20264093
Sint-martens-latem,9830,House,house,689821,for-sale,4,213,1,0,0,1,1.0,1,1.0,0,761,3.0,2024.0,,,As new,https://www.immoweb.be/en/classified/house/for-sale/sint-martens-latem/9830/11232206
Molenbeek-saint-jean,1080,Apartment,apartment,300000,for-sale,2,85,1,0,0,1,25.0,0,,0,,2.0,,E,231.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20233538
Anderlecht,1070,House,house,459000,for-sale,3,178,1,0,1,1,12.0,1,60.0,0,97,2.0,1993.0,D,175.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/11280757
Saint-gilles,1060,House,apartment-block,1750000,for-sale,,820,0,0,0,0,,0,,0,337,2.0,1899.0,G,391.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/20230254
Ronse,9600,House,house,185000,for-sale,2,150,1,0,0,1,28.0,0,,0,92,2.0,,C,274.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20288508
Zottegem,9620,House,house,294900,for-sale,4,156,1,0,0,0,,0,,0,1240,3.0,1975.0,E,412.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/11373687
Brasschaat,2930,House,house,559000,for-sale,4,201,1,0,0,0,,1,717.0,0,717,3.0,,D,312.0,As new,https://www.immoweb.be/en/classified/house/for-sale/brasschaat/2930/20234067
Opdorp,9255,House,country-cottage,895000,for-sale,4,479,1,0,0,1,42.0,1,2900.0,0,3226,4.0,1840.0,D,322.0,Good,https://www.immoweb.be/en/classified/country-cottage/for-sale/opdorp/9255/20134850
Rochefort,5580,Apartment,apartment,170000,for-sale,2,92,0,0,0,0,,1,2.0,0,,2.0,1952.0,D,,,https://www.immoweb.be/en/classified/apartment/for-sale/rochefort/5580/20313461
Beervelde,9080,House,house,298000,for-sale,2,140,1,0,0,0,,0,,0,444,,1874.0,E,438.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/beervelde/9080/20239939
Woluwe-saint-pierre,1150,House,house,1315000,for-sale,5,315,1,0,0,0,,1,1500.0,1,1595,3.0,1965.0,F,302.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20143525
Antwerpen-berchem,2600,House,exceptional-property,625000,for-sale,3,240,1,0,1,1,8.0,0,,0,85,2.0,,C,228.0,Just renovated,https://www.immoweb.be/en/classified/exceptional-property/for-sale/antwerpen-berchem/2600/20281467
Braine-lalleud,1420,House,house,800000,for-sale,4,270,1,0,0,0,,0,,1,1465,4.0,1970.0,C,231.0,Good,https://www.immoweb.be/en/classified/house/for-sale/braine-lalleud/1420/11311846
Grimbergen,1850,House,villa,1100000,for-sale,5,392,1,0,1,1,40.0,1,12440.0,0,13890,4.0,1953.0,F,1098.0,To be done up,https://www.immoweb.be/en/classified/villa/for-sale/grimbergen/1850/20056275
Ninove,9400,House,house,395000,for-sale,4,198,1,0,0,0,,0,,0,480,,1950.0,B,167.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20288232
Uccle,1180,House,house,299000,for-sale,4,124,0,0,0,0,,1,87.0,0,218,3.0,1935.0,G,585.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/11309990
Wevelgem,8560,Apartment,apartment,185000,for-sale,1,90,0,0,0,0,,0,,0,,,,F,552.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/wevelgem/8560/20312704
Waasmunster,9250,Apartment,penthouse,1095000,for-sale,2,256,1,0,0,1,120.0,0,,0,,,2022.0,A,28.0,As new,https://www.immoweb.be/en/classified/penthouse/for-sale/waasmunster/9250/20261770
Gent,9000,House,house,290000,for-sale,2,140,0,0,0,0,,1,29.0,0,76,,,D,305.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10276601
Nieuwpoort,8620,House,villa,970000,for-sale,3,304,1,0,0,0,,0,,0,626,,1986.0,C,272.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/nieuwpoort/8620/20305963
Ternat-wambeek,1741,House,exceptional-property,795000,for-sale,9,426,1,0,0,1,50.0,0,,0,1400,3.0,,D,328.0,As new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/ternat-wambeek/1741/11402279
Kessel-lo,3010,House,exceptional-property,685000,for-sale,5,219,1,0,0,0,,1,730.0,0,830,2.0,1955.0,E,492.0,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/kessel-lo/3010/20211138
Liege,4000,Apartment,duplex,110000,for-sale,1,70,1,0,0,1,15.0,0,,0,,2.0,1899.0,C,253.0,Just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/liege/4000/20115587
Dison,4820,House,house,580000,for-sale,5,543,1,0,0,0,,1,920.0,1,1667,4.0,,D,331.0,As new,https://www.immoweb.be/en/classified/house/for-sale/dison/4820/20205853
Olne,4877,House,exceptional-property,799000,for-sale,11,741,1,0,1,1,60.0,1,1500.0,0,2800,4.0,,E,416.0,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/olne/4877/11333816
Meise,1861,House,house,675000,for-sale,5,257,0,0,0,0,,0,,0,2101,4.0,1994.0,C,291.0,Good,https://www.immoweb.be/en/classified/house/for-sale/meise/1861/20300866
Saint-gilles,1060,House,apartment-block,1185000,for-sale,5,300,1,0,0,1,18.0,1,100.0,0,150,2.0,1910.0,E,262.0,As new,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/20252861
Strombeek-bever,1853,Apartment,apartment,225000,for-sale,2,90,1,0,0,0,,0,,0,,,1968.0,B,153.0,,https://www.immoweb.be/en/classified/apartment/for-sale/strombeek-bever/1853/20270206
Antwerpen-borgerhout,2140,Apartment,apartment,184900,for-sale,3,100,1,0,0,1,22.0,0,,0,,2.0,,C,210.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-borgerhout/2140/20295588
Houthalen-helchteren,3530,House,house,299000,for-sale,3,190,0,0,0,0,,0,,0,2108,,1953.0,F,865.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/houthalen-helchteren/3530/20162961
Nieuwpoort,8620,House,villa,945000,for-sale,4,208,0,0,0,0,,0,,1,1015,,1967.0,F,546.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/nieuwpoort/8620/20279563
Gent,9000,House,house,869000,for-sale,4,280,1,0,0,1,30.0,1,630.0,0,625,2.0,,C,201.0,As new,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20264748
Schaerbeek,1030,Apartment,apartment,265000,for-sale,2,70,1,0,0,1,15.0,0,,0,,2.0,1965.0,,,Good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20295024
Saint-gilles,1060,House,house,1185000,for-sale,5,300,1,0,0,1,18.0,1,100.0,0,150,2.0,1910.0,E,262.0,As new,https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/20060474
Watermael-boitsfort,1170,Apartment,apartment,300000,for-sale,2,85,0,0,0,0,,0,,0,,4.0,1978.0,E,212.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/20312618
Marche-en-famenne,6900,House,house,525000,for-sale,5,242,1,0,0,1,45.0,1,911.0,0,911,4.0,2010.0,C,173.0,Good,https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20167234
Ixelles,1190,House,apartment-block,1795000,for-sale,9,450,1,0,0,0,,0,,0,,3.0,1920.0,E,258.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1190/20183775
Sprimont,4140,House,house,310000,for-sale,4,174,1,0,0,1,30.0,1,165.0,0,293,2.0,,D,295.0,Good,https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/20127844
Zoersel,2980,House,villa,739000,for-sale,4,340,0,0,0,0,,0,,0,1900,4.0,1958.0,C,205.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/zoersel/2980/20282983
Elzele,7890,House,farmhouse,830000,for-sale,3,220,0,0,0,0,,0,,0,3485,4.0,,B,125.0,Just renovated,https://www.immoweb.be/en/classified/farmhouse/for-sale/elzele/7890/20175839
Ranst-emblem,2520,House,house,875000,for-sale,4,293,1,0,1,0,,0,,0,2660,4.0,2000.0,B,194.0,,https://www.immoweb.be/en/classified/house/for-sale/ranst-emblem/2520/20021723
Auderghem,1160,Apartment,apartment,319000,for-sale,2,97,0,0,0,1,2.0,0,,0,,2.0,1955.0,E,263.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20296734
Landen,3400,House,house,567000,for-sale,4,246,1,0,0,0,,0,,0,514,,1935.0,C,291.0,As new,https://www.immoweb.be/en/classified/house/for-sale/landen/3400/20278333
Antwerpen,2000,Apartment,apartment,359000,for-sale,2,86,1,0,0,0,,0,,0,,,2014.0,B,133.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20268570
Erpe-mere,9420,House,house,315000,for-sale,2,170,1,0,0,0,,0,,0,458,4.0,1970.0,F,877.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/20044125
Gistel,8470,House,house,599000,for-sale,4,427,0,0,0,0,,0,,0,752,2.0,,B,131.0,As new,https://www.immoweb.be/en/classified/house/for-sale/gistel/8470/20278276
Knokke-heist,8300,House,house,890000,for-sale,4,265,0,0,0,0,,0,,0,,,2025.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/11201983
Edegem,2650,House,apartment-block,1649000,for-sale,12,450,1,0,0,1,5.0,0,,0,140,3.0,,C,,Just renovated,https://www.immoweb.be/en/classified/apartment-block/for-sale/edegem/2650/20266183
Gent,9000,House,house,369000,for-sale,2,121,1,0,0,0,,0,,0,50,2.0,1956.0,A,73.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20269643
Dilbeek,1702,House,house,320000,for-sale,4,120,0,0,0,0,,0,,0,256,3.0,1976.0,E,414.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1702/20079294
Sprimont,4140,House,exceptional-property,990000,for-sale,7,360,1,0,0,0,,1,10669.0,0,10669,4.0,1936.0,C,244.0,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/sprimont/4140/20165102
Buggenhout,9255,House,villa,725000,for-sale,5,364,1,0,0,0,,0,,0,858,,2003.0,B,151.0,,https://www.immoweb.be/en/classified/villa/for-sale/buggenhout/9255/20277439
La-hulpe,1310,House,villa,895000,for-sale,4,360,1,0,0,1,70.0,1,1415.0,0,1415,4.0,1997.0,C,244.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/la-hulpe/1310/11338556
Uccle,1180,Apartment,apartment,399000,for-sale,2,122,1,0,0,1,4.0,0,,0,,2.0,1991.0,C,119.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20294890
Mortsel,2640,House,mixed-use-building,649000,for-sale,2,300,0,0,1,0,,1,108.0,0,635,2.0,1957.0,D,349.0,To renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/mortsel/2640/20253315
Melle,9090,House,house,324000,for-sale,4,167,1,0,0,1,10.0,1,206.0,0,206,,,B,156.0,Good,https://www.immoweb.be/en/classified/house/for-sale/melle/9090/20043865
Lasne,1380,House,villa,1490000,for-sale,6,365,1,0,0,1,80.0,1,6300.0,0,7346,4.0,1973.0,E,352.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/20184491
Sint-pieters-leeuw,1600,House,house,915000,for-sale,5,440,0,0,0,0,,0,,0,2411,4.0,2011.0,,,,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1600/20235758
Brecht-sint-job-in-t-goor,2960,House,house,999000,for-sale,4,419,0,0,0,0,,0,,0,7682,4.0,1978.0,C,250.0,,https://www.immoweb.be/en/classified/house/for-sale/brecht-sint-job-in-t-goor/2960/20311301
Antwerpen,2140,Apartment,apartment,275000,for-sale,2,140,1,0,0,1,8.0,0,,0,,,,B,153.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/20310569
Roeselare,8800,House,house,329000,for-sale,3,172,1,0,0,0,,0,,0,315,,1958.0,D,400.0,Good,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20046920
Oudenaarde,9700,Apartment,apartment,685000,for-sale,3,205,0,0,0,0,,0,,0,,2.0,1999.0,B,161.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20065882
Boortmeerbeek-hever,3191,House,house,685000,for-sale,3,364,1,0,0,0,,0,,0,574,4.0,2013.0,B,112.0,As new,https://www.immoweb.be/en/classified/house/for-sale/boortmeerbeek-hever/3191/20309032
Knokke-heist,8300,House,house,960000,for-sale,4,265,0,0,0,0,,0,,0,,,2025.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20194964
Anderlecht,1070,Apartment,ground-floor,310000,for-sale,3,120,0,0,0,1,27.0,1,35.0,0,,2.0,2012.0,B,74.0,Good,https://www.immoweb.be/en/classified/ground-floor/for-sale/anderlecht/1070/20212870
Erembodegem,9320,House,house,449000,for-sale,3,179,0,0,0,0,,0,,0,420,,2017.0,A,80.0,Good,https://www.immoweb.be/en/classified/house/for-sale/erembodegem/9320/20278609
Waterloo,1410,House,villa,865000,for-sale,6,265,1,0,0,0,,1,2223.0,0,2223,4.0,1991.0,F,506.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/20310566
Saint-gilles,1060,Apartment,apartment,399000,for-sale,3,120,1,0,0,0,,0,,0,,2.0,,F,315.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/20295406
Genappe,1473,House,exceptional-property,950000,for-sale,7,382,0,0,1,0,,0,,1,15400,4.0,1990.0,C,228.0,To be done up,https://www.immoweb.be/en/classified/exceptional-property/for-sale/genappe/1473/20304356
Kessel-lo,3010,House,house,440000,for-sale,3,153,1,0,0,0,,0,,0,174,2.0,,C,227.0,As new,https://www.immoweb.be/en/classified/house/for-sale/kessel-lo/3010/20244966
Lubbeek,3210,House,house,609000,for-sale,4,210,1,0,0,0,,0,,0,587,3.0,2024.0,A,23.0,As new,https://www.immoweb.be/en/classified/house/for-sale/lubbeek/3210/20308796
Hamme,9220,House,house,329000,for-sale,3,184,0,0,0,0,,0,,0,467,3.0,1936.0,E,473.0,Good,https://www.immoweb.be/en/classified/house/for-sale/hamme/9220/20083694
Blankenberge,8370,Apartment,apartment,750000,for-sale,2,200,1,0,0,1,19.0,0,,0,,,2020.0,A,,Good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/11429533
Grez-doiceau,1390,House,villa,895000,for-sale,3,210,1,0,0,1,60.0,1,750.0,1,1152,4.0,2000.0,D,274.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/grez-doiceau/1390/20288804
Meulebeke,8760,House,house,412900,for-sale,4,175,0,0,0,0,,0,,0,463,,,A,19.0,Good,https://www.immoweb.be/en/classified/house/for-sale/meulebeke/8760/20296609
Holsbeek,3220,House,mixed-use-building,548000,for-sale,3,386,1,0,0,0,,0,,0,1933,4.0,1930.0,F,562.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/holsbeek/3220/20291273
Le-roeulx,7070,House,house,105000,for-sale,2,100,0,0,0,1,19.0,1,26.0,0,150,3.0,,E,381.0,,https://www.immoweb.be/en/classified/house/for-sale/le-roeulx/7070/20302169
Etterbeek,1040,Apartment,duplex,995000,for-sale,3,220,1,0,0,1,25.0,0,,0,,2.0,2023.0,D,151.0,Just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/11272201
Brasschaat,2930,Apartment,duplex,599000,for-sale,2,220,1,0,0,1,18.0,0,,0,,3.0,1993.0,D,390.0,To be done up,https://www.immoweb.be/en/classified/duplex/for-sale/brasschaat/2930/10896508
Schaerbeek,1030,House,mansion,1150000,for-sale,6,427,0,0,0,1,40.0,1,258.0,0,489,2.0,1915.0,F,339.0,To be done up,https://www.immoweb.be/en/classified/mansion/for-sale/schaerbeek/1030/20014116
Jemeppe-sur-meuse,4101,House,house,129000,for-sale,4,123,1,0,0,1,20.0,1,41.0,0,135,2.0,,D,290.0,Good,https://www.immoweb.be/en/classified/house/for-sale/jemeppe-sur-meuse/4101/20255602
Maldegem,9990,House,villa,635000,for-sale,3,215,0,0,0,0,,0,,0,578,,2008.0,A,79.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/maldegem/9990/20275460
Ramillies,1367,House,house,335000,for-sale,3,140,1,0,0,0,,1,270.0,0,450,4.0,,E,419.0,As new,https://www.immoweb.be/en/classified/house/for-sale/ramillies/1367/11463264
Sint-truiden,3800,Apartment,penthouse,675000,for-sale,5,380,1,0,0,1,35.0,0,,0,,,1850.0,B,158.0,Good,https://www.immoweb.be/en/classified/penthouse/for-sale/sint-truiden/3800/20029046
Hoevenen,2940,Apartment,apartment,175000,for-sale,2,78,0,0,0,0,,0,,0,,,1977.0,B,167.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/hoevenen/2940/20278431
Bredene,8450,House,house,219000,for-sale,,43,1,0,0,0,,0,,0,478,,1972.0,F,630.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/bredene/8450/20066696
Boutersem,3370,House,villa,1650000,for-sale,10,976,0,0,1,1,1.0,1,1.0,1,55000,,1942.0,D,,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/boutersem/3370/11309697
Meise,1860,House,villa,745000,for-sale,4,200,1,0,0,1,24.0,1,800.0,0,1000,4.0,1960.0,D,330.0,,https://www.immoweb.be/en/classified/villa/for-sale/meise/1860/20164309
Roeselare,8800,House,villa,525000,for-sale,3,284,1,0,0,0,,1,1075.0,0,1075,,1996.0,C,260.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/roeselare/8800/11439698
Laeken,1020,House,apartment-block,1150000,for-sale,8,600,1,0,0,0,,0,,0,385,,,F,345.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/laeken/1020/11462507
Antwerpen,2018,Apartment,apartment,849000,for-sale,3,200,1,0,0,0,,1,1100.0,0,,2.0,1928.0,B,173.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20236300
Temse,9140,House,house,199000,for-sale,1,116,1,0,0,0,,0,,0,60,2.0,1938.0,D,386.0,Good,https://www.immoweb.be/en/classified/house/for-sale/temse/9140/20304024
Uccle,1180,House,house,1150000,for-sale,3,215,1,0,0,1,27.0,1,230.0,0,437,3.0,1941.0,F,318.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/11040509
Ingelmunster,8770,House,house,335000,for-sale,3,140,1,0,0,0,,0,,0,360,,1996.0,B,197.0,Good,https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/20224883
Woluwe-saint-pierre,1150,Apartment,triplex,825000,for-sale,4,340,1,0,0,1,6.0,0,,0,,,1961.0,F,313.0,To be done up,https://www.immoweb.be/en/classified/triplex/for-sale/woluwe-saint-pierre/1150/11451816
Seraing,4100,House,house,179900,for-sale,4,140,1,0,0,0,,1,50.0,0,130,2.0,1950.0,C,244.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20241177
Ertvelde,9940,House,bungalow,220000,for-sale,3,125,1,0,0,0,,0,,0,345,,1963.0,F,807.0,To renovate,https://www.immoweb.be/en/classified/bungalow/for-sale/ertvelde/9940/20302508
Aalter,9880,House,house,960000,for-sale,3,396,0,0,0,0,,0,,0,7108,4.0,1967.0,C,268.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/aalter/9880/20304367
Ertvelde,9940,House,house,259000,for-sale,3,91,1,0,0,0,,0,,0,132,,1971.0,D,382.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/ertvelde/9940/20302668
Edingen,7850,House,exceptional-property,1199000,for-sale,6,500,1,0,1,1,80.0,0,,1,8179,4.0,1985.0,C,221.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/edingen/7850/20217715
Uccle,1180,Apartment,apartment,2690000,for-sale,5,557,1,0,1,1,30.0,1,1200.0,0,,,,D,184.0,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20203841
Kraainem,1950,House,house,1070000,for-sale,5,280,1,0,0,1,18.0,1,175.0,0,289,2.0,2010.0,B,144.0,As new,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/20108270
Onze-lieve-vrouw-waver,2861,House,house,629000,for-sale,4,267,0,0,0,0,,0,,0,1523,,1983.0,C,,Good,https://www.immoweb.be/en/classified/house/for-sale/onze-lieve-vrouw-waver/2861/20275507
Kluisbergen,9690,House,house,349000,for-sale,3,148,0,0,0,0,,0,,0,219,2.0,2017.0,A,79.0,As new,https://www.immoweb.be/en/classified/house/for-sale/kluisbergen/9690/20234023
Buggenhout,9255,House,house,260000,for-sale,3,127,0,0,0,0,,0,,0,153,3.0,1939.0,D,372.0,Good,https://www.immoweb.be/en/classified/house/for-sale/buggenhout/9255/20301873
Beveren,9120,House,house,529000,for-sale,3,205,1,0,1,1,20.0,1,250.0,1,598,3.0,1978.0,C,277.0,As new,https://www.immoweb.be/en/classified/house/for-sale/beveren/9120/20243925
Bierghes,1430,House,exceptional-property,1199000,for-sale,6,500,1,0,1,1,80.0,0,,1,8179,4.0,1985.0,C,221.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/bierghes/1430/20217716
Villers-le-bouillet,4530,House,house,349000,for-sale,4,161,0,0,0,1,25.0,1,1000.0,0,1491,4.0,1984.0,F,463.0,Good,https://www.immoweb.be/en/classified/house/for-sale/villers-le-bouillet/4530/20201033
Verviers-lambermont,4800,House,house,350000,for-sale,3,122,1,0,0,0,,0,,0,658,4.0,1950.0,C,235.0,Good,https://www.immoweb.be/en/classified/house/for-sale/verviers-lambermont/4800/20057323
Schilde,2970,House,villa,1070000,for-sale,4,384,1,0,0,0,,0,,0,2551,4.0,2009.0,A,81.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/schilde/2970/20281161
Ravels-poppel,2382,House,house,1225000,for-sale,3,400,0,0,0,0,,0,,0,2226,4.0,2010.0,B,106.0,Good,https://www.immoweb.be/en/classified/house/for-sale/ravels-poppel/2382/20131702
Aalst,9300,House,house,1280000,for-sale,1,564,0,0,0,0,,0,,0,,4.0,1972.0,,,Good,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20176052
Sint-amandsberg,9040,House,house,275000,for-sale,3,144,0,0,0,0,,0,,0,50,4.0,1931.0,D,352.0,Good,https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/20303667
Ronse,9600,House,apartment-block,579000,for-sale,7,358,1,0,0,1,69.0,0,,0,189,2.0,1945.0,B,148.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/ronse/9600/20242282
Antwerpen,2060,House,house,359000,for-sale,4,167,1,0,0,0,,1,14.0,0,87,2.0,1900.0,C,270.0,Good,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2060/20225652
Mol,2400,House,house,550000,for-sale,3,250,1,0,0,0,,0,,0,650,3.0,2014.0,B,118.0,As new,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20273387
Herselt,2230,House,villa,1295000,for-sale,5,582,1,1,0,0,,0,,1,3602,4.0,2008.0,B,186.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/herselt/2230/20200359
Gent,9000,House,house,289000,for-sale,2,102,1,0,0,0,,0,,0,46,,,B,160.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20302669
Gentbrugge,9050,House,house,369000,for-sale,4,160,0,0,0,0,,1,140.0,0,140,,,C,238.0,Good,https://www.immoweb.be/en/classified/house/for-sale/gentbrugge/9050/20207976
Keerbergen,3140,House,house,589000,for-sale,3,233,1,0,0,0,,0,,0,1242,4.0,1956.0,D,374.0,Good,https://www.immoweb.be/en/classified/house/for-sale/keerbergen/3140/20216204
