Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Blankenberge,8370,House,house,599000,for-sale,3,250,0,0,0,0,,0,,0,630,,,C,251.0,,https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/11385740
Berlaar,2590,House,house,549000,for-sale,4,290,1,0,0,0,,0,,0,535,3.0,2001.0,B,188.0,,https://www.immoweb.be/en/classified/house/for-sale/berlaar/2590/20235215
Woluwe-saint-lambert,1200,House,house,895000,for-sale,5,328,1,0,0,1,20.0,1,60.0,0,170,2.0,2003.0,C,142.0,Good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20274368
Uccle,1180,Apartment,apartment,375000,for-sale,2,90,1,0,0,0,,0,,0,,2.0,1949.0,D,183.0,To renovate,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20289034
Oud-heverlee,3050,House,house,729000,for-sale,3,200,1,0,0,1,54.0,0,,0,783,4.0,1930.0,,,,https://www.immoweb.be/en/classified/house/for-sale/oud-heverlee/3050/20236477
Leopoldsburg,3970,House,villa,545000,for-sale,3,207,0,0,0,0,,1,1028.0,0,1221,4.0,2002.0,B,167.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/leopoldsburg/3970/20159661
Beersel-alsemberg,1652,House,house,379000,for-sale,3,150,1,0,0,1,10.0,1,271.0,0,372,3.0,1928.0,D,399.0,Good,https://www.immoweb.be/en/classified/house/for-sale/beersel-alsemberg/1652/20271984
Knokke-heist,8300,Apartment,apartment,349500,for-sale,1,46,0,0,0,0,,0,,0,,,1995.0,B,152.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20304321
Zwijndrecht,2070,House,house,420000,for-sale,3,173,0,0,0,0,,0,,0,391,,1988.0,D,367.0,Good,https://www.immoweb.be/en/classified/house/for-sale/zwijndrecht/2070/20307981
Bornem,2880,House,house,160000,for-sale,3,118,1,0,0,0,,1,263.0,0,345,2.0,1931.0,E,446.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/11092221
